algorithm,source,family,representation,condition,q,k,seed,status,target_count,successes,evidence_level
md5,printable,G-P-BGV,bgv,HASHONLY,8,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,8,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,8,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,8,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,8,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,8,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,8,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,8,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,8,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,8,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,8,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,8,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,8,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,8,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,8,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,8,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,8,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
